junction_name,police_station,hour,weekday,month,violations,risk_score
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Friday,December,17,5.673758865248227
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Friday,February,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Friday,November,20,6.737588652482268
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Monday,April,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Monday,December,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Monday,February,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Monday,January,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Monday,March,23,7.80141843971631
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Monday,November,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Saturday,December,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Saturday,February,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Saturday,March,13,4.25531914893617
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Saturday,November,10,3.1914893617021276
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Sunday,April,9,2.8368794326241136
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Sunday,February,18,6.028368794326241
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Sunday,January,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Sunday,March,28,9.574468085106384
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Sunday,November,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Thursday,February,21,7.092198581560282
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Thursday,January,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Thursday,March,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Tuesday,December,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Tuesday,February,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Tuesday,March,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Tuesday,November,28,9.574468085106384
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Wednesday,December,16,5.319148936170213
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Wednesday,January,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Wednesday,March,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,0,Wednesday,November,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Friday,December,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Friday,February,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Friday,March,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Friday,November,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Monday,March,20,6.737588652482268
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Monday,November,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Saturday,December,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Saturday,March,28,9.574468085106384
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Saturday,November,29,9.929078014184396
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Sunday,December,12,3.900709219858156
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Sunday,February,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Sunday,January,19,6.382978723404255
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Sunday,March,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Sunday,November,11,3.546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Thursday,April,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Thursday,February,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Thursday,January,3,0.7092198581560284
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Thursday,March,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Thursday,November,11,3.546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Tuesday,December,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Tuesday,February,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Tuesday,January,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Tuesday,March,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Tuesday,November,16,5.319148936170213
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Wednesday,January,10,3.1914893617021276
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,1,Wednesday,November,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Friday,December,4,1.0638297872340425
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Friday,February,7,2.1276595744680855
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Monday,December,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Monday,February,1,0.0
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Monday,March,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Saturday,April,6,1.7730496453900706
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Saturday,December,5,1.4184397163120566
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Saturday,February,11,3.546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Saturday,January,2,0.3546099290780142
"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,2,Saturday,November,14,4.609929078014185
